loan_amnt,installment,dti,grade
,,,""
500,15.67,0,A
500,15.69,4.27,A
500,15.75,14.02,A
500,15.76,2.15,A
500,15.91,0,B
500,16.08,22.17,B
500,16.25,14.17,B
500,16.31,3.04,B
500,16.47,3.69,C
500,16.73,19.2,D
500,16.85,10,D
550,18.28,5.22,C
600,19.62,11.68,C
600,19.8,4.8,C
600,20.29,22.03,D
600,20.29,28.61,D
600,20.53,20.54,E
600,21.59,26.89,G
700,23.21,11.33,D
700,23.35,12.38,C
700,24.99,28.42,G
725,22.51,3.6,A
750,25.02,24,C
800,24.84,7.65,A
800,25.8,0,B
800,27.13,0,E
850,29.08,21.26,E
900,28.47,0.32,A
900,29.16,16.7,C
900,30.29,25.11,D
900,30.93,3.1,E
925,30.02,11.85,B
950,30.55,22.38,B
1000,19.87,19.01,A
1000,20.22,20.09,A
1000,21.25,22.01,B
1000,21.62,28.7,B
1000,21.74,5.34,B
1000,21.81,19.75,B
1000,21.99,8.1,B
1000,22.24,6.45,B
1000,22.59,9.15,C
1000,22.79,22.5,C
1000,22.94,10.8,C
1000,23.01,9.88,C
1000,23.17,26,C
1000,23.26,13.29,C
1000,23.26,18.42,C
1000,23.36,11.88,C
1000,23.51,11.86,D
1000,23.61,4.32,C
1000,23.91,22.2,D
1000,24.16,19.2,D
1000,24.32,20.98,D
1000,24.73,15.6,E
1000,24.73,20.75,D
1000,24.96,20.73,E
1000,25.81,27.23,D
1000,25.86,32.98,D
1000,27.82,15.75,F
1000,27.85,24.57,E
1000,28.82,13.04,F
1000,28.82,29.28,F
1000,29.52,15.46,F
1000,29.76,28.24,B
1000,29.83,32.81,G
1000,30.12,1.47,A
1000,30.12,1.98,A
1000,30.12,2.28,A
1000,30.12,2.47,A
1000,30.12,3.25,A
1000,30.12,3.97,A
1000,30.12,4.53,A
1000,30.12,4.62,A
1000,30.12,5.59,A
1000,30.12,5.73,A
1000,30.12,6.04,A
1000,30.12,6.07,A
1000,30.12,6.27,A
1000,30.12,6.32,A
1000,30.12,6.39,A
1000,30.12,6.54,A
1000,30.12,6.62,A
1000,30.12,6.8,A
1000,30.12,6.93,A
1000,30.12,7.83,A
1000,30.12,7.84,A
1000,30.12,7.85,A
1000,30.12,7.87,A
1000,30.12,8.17,A
1000,30.12,8.28,A
1000,30.12,8.5,A
1000,30.12,8.51,A
1000,30.12,8.64,A
1000,30.12,8.69,A
1000,30.12,9.09,A
1000,30.12,9.27,A
1000,30.12,9.36,A
1000,30.12,9.46,A
1000,30.12,9.6,A
1000,30.12,9.61,A
1000,30.12,9.62,A
1000,30.12,9.65,A
1000,30.12,10.04,A
1000,30.12,10.17,A
1000,30.12,10.23,A
1000,30.12,10.24,A
1000,30.12,10.29,A
1000,30.12,10.3,A
1000,30.12,10.35,A
1000,30.12,10.38,A
1000,30.12,10.46,A
1000,30.12,10.56,A
1000,30.12,10.59,A
1000,30.12,11.04,A
1000,30.12,11.66,A
1000,30.12,11.88,A
1000,30.12,11.9,A
1000,30.12,13.3,A
1000,30.12,13.44,A
1000,30.12,14.79,A
1000,30.12,14.81,A
1000,30.12,15.1,A
1000,30.12,15.15,A
1000,30.12,15.23,A
1000,30.12,15.33,A
1000,30.12,15.81,A
1000,30.12,15.95,A
1000,30.12,16.04,A
1000,30.12,16.51,A
1000,30.12,16.67,A
1000,30.12,16.8,A
1000,30.12,17.05,A
